THỜI KHÓA BIỂU DỰ KIẾN K70 - CẬP NHẬT NGÀY 29/08/2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Kỳ,Trường_Viện_Khoa,Mã_lớp,Mã_lớp_kèm,Mã_HP,Tên_HP,Tên_HP_Tiếng_Anh,Khối_lượng,Ghi_chú,Buổi_số,Thứ,Thời_gian,BĐ,KT,Kíp,Tuần,Phòng,Cần_TN,SLĐK,SL_Min,SL_Max,Trạng_thái,Loại_lớp,Đợt_mở,Mã_QL,TeachingType
20251,THKHSS,165153,165153,CH1012,Hóa học 1,Chemistry 1,2(2-1-0-4),Hóa học (nhóm 1/3)-K70C,1,2,1230-1455,1,3,Chiều,5-20,D5-501,NULL,NULL,NULL,75,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165154,165154,CH1012,Hóa học 1,Chemistry 1,2(2-1-0-4),Hóa học (nhóm 2/3)-K70C,1,2,1505-1730,4,6,Chiều,5-20,D5-501,NULL,NULL,NULL,75,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165155,165155,CH1012,Hóa học 1,Chemistry 1,2(2-1-0-4),Hóa học (nhóm 3/3)-K70C,1,2,1505-1730,4,6,Chiều,5-20,D5-502,NULL,NULL,NULL,75,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165179,165179,CH1012,Hóa học 1,Chemistry 1,2(2-1-0-4),"KTHH 14,15,16 (nhóm 1/2)-K70S",1,2,0645-0910,1,3,Sáng,"2-4,8-20",D5-405,NULL,NULL,NULL,80,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165180,165180,CH1012,Hóa học 1,Chemistry 1,2(2-1-0-4),"KTHH 14,15,16 (nhóm 2/2)-K70S",1,2,0645-0910,1,3,Sáng,"2-4,8-20",D5-505,NULL,NULL,NULL,80,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165190,165190,CH1012,Hóa học 1,Chemistry 1,2(2-1-0-4),"KTHH 01,02,03,04,05 (nhóm 1/3)-K70S",1,5,0920-1145,4,6,Sáng,"2-4,8-20",D5-403,NULL,NULL,NULL,80,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165191,165191,CH1012,Hóa học 1,Chemistry 1,2(2-1-0-4),"KTHH 01,02,03,04,05 (nhóm 2/3)-K70S",1,5,0920-1145,4,6,Sáng,"2-4,8-20",D5-404,NULL,NULL,NULL,80,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165192,165192,CH1012,Hóa học 1,Chemistry 1,2(2-1-0-4),"KTHH 01,02,03,04,05 (nhóm 3/3)-K70S",1,5,0920-1145,4,6,Sáng,"2-4,8-20",D5-405,NULL,NULL,NULL,80,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165202,165202,CH1012,Hóa học 1,Chemistry 1,2(2-1-0-4),"KTHH 06,07,08,09,10 (nhóm 1/3)-K70S",1,5,0645-0910,1,3,Sáng,"2-4,8-20",D5-403,NULL,NULL,NULL,80,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165203,165203,CH1012,Hóa học 1,Chemistry 1,2(2-1-0-4),"KTHH 06,07,08,09,10 (nhóm 2/3)-K70S",1,5,0645-0910,1,3,Sáng,"2-4,8-20",D5-404,NULL,NULL,NULL,80,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165204,165204,CH1012,Hóa học 1,Chemistry 1,2(2-1-0-4),"KTHH 06,07,08,09,10 (nhóm 3/3)-K70S",1,5,0645-0910,1,3,Sáng,"2-4,8-20",D5-405,NULL,NULL,NULL,80,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165214,165214,CH1012,Hóa học 1,Chemistry 1,2(2-1-0-4),"KTHH 11,12,13 (nhóm 1/2)-K70S",1,2,0920-1145,4,6,Sáng,"2-4,8-20",D5-405,NULL,NULL,NULL,75,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165215,165215,CH1012,Hóa học 1,Chemistry 1,2(2-1-0-4),"KTHH 11,12,13 (nhóm 2/2)-K70S",1,2,0920-1145,4,6,Sáng,"2-4,8-20",D5-505,NULL,NULL,NULL,75,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165110,165110,CH1018,Hoá học,Chemistry,2(2-1-0-4),"Sinh học 01,02,03 (nhóm 1/2)-K70C",1,3,1230-1455,1,3,Chiều,5-20,D5-405,NULL,NULL,NULL,80,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165111,165111,CH1018,Hoá học,Chemistry,2(2-1-0-4),"Sinh học 01,02,03 (nhóm 2/2)-K70C",1,3,1505-1730,4,6,Chiều,5-20,D5-505,NULL,NULL,NULL,80,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
